Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
128127	-0.008185	0.000000	0.067898	0.000000	0.000000	0.000000	-0.023586	0.000000	0.000000	0.055392	-0.038858	0.000000	-0.038014	0.000000	0.076208	0.000000	0.000000	0.000000	-0.040506	0.074306	0.122104	-0.206785	0.578256	-0.271112	0.042595	
128632	-0.058907	0.000000	-0.130419	0.000000	0.000000	0.000000	-0.132405	0.000000	0.000000	-0.332847	0.320912	0.000000	-0.062898	0.000000	0.020659	0.000000	0.000000	0.000000	-0.070922	0.244469	-0.208175	0.261947	0.700558	-0.222799	0.134828	
129028	-0.059293	0.000000	-0.463687	0.000000	0.000000	0.000000	-0.000929	0.000000	0.000000	0.013052	-0.114730	0.000000	-0.254867	0.000000	-0.320898	0.000000	0.000000	0.000000	-0.149538	0.228827	-0.358715	-0.003139	0.626715	-0.278636	-0.029499	
130013	-0.087791	0.000000	0.287734	0.000000	0.000000	0.000000	-0.067203	0.000000	0.000000	0.212771	0.166473	0.000000	-0.103084	0.000000	0.160019	0.000000	0.000000	0.000000	-0.071787	0.217430	0.274693	0.253504	0.145708	0.256519	-0.142955	
130316	-0.209883	0.000000	0.555662	0.000000	0.000000	0.000000	-0.096525	0.000000	0.000000	-0.260036	-0.172994	0.000000	-0.008979	0.000000	0.038348	0.000000	0.000000	0.000000	-0.057745	-0.205311	0.413071	0.310837	-0.208661	0.262853	0.058246	
130922	0.060131	0.000000	0.044216	0.000000	0.000000	0.000000	-0.146185	0.000000	0.000000	-0.004353	0.142864	0.000000	-0.357314	0.000000	-0.572778	0.000000	0.000000	0.000000	-0.279907	-0.006643	-0.186109	0.155934	0.828217	0.298728	-0.068946	
131217	-0.048933	0.000000	-0.528599	0.000000	0.000000	0.000000	-0.214887	0.000000	0.000000	-0.149273	0.190414	0.000000	0.077457	0.000000	-0.016925	0.000000	0.000000	0.000000	-0.260067	-0.194075	0.172699	-0.452698	-0.362393	-0.531673	-0.050084	
131722	0.011503	0.000000	0.023026	0.000000	0.000000	0.000000	-0.112257	0.000000	0.000000	0.068912	0.036333	0.000000	-0.071736	0.000000	0.049223	0.000000	0.000000	0.000000	-0.154354	0.096880	-0.091074	0.241622	0.329508	0.337993	-0.039691	
131924	-0.148931	0.000000	-0.499411	0.000000	0.000000	0.000000	-0.044145	0.000000	0.000000	-0.021469	0.303398	0.000000	-0.263253	0.000000	0.000942	0.000000	0.000000	0.000000	-0.109112	0.079040	0.440025	0.166311	-0.594982	-0.350894	0.007352	
133019	0.027354	0.000000	-0.096330	0.000000	0.000000	0.000000	-0.150549	0.000000	0.000000	0.153030	0.057250	0.000000	-0.260307	0.000000	0.067528	0.000000	0.000000	0.000000	-0.092665	0.119259	-0.128334	0.302735	0.849133	0.281904	0.073828	
133625	0.011512	0.000000	-0.035861	0.000000	0.000000	0.000000	-0.005010	0.000000	0.000000	0.035216	-0.039950	0.000000	-0.230028	0.000000	-0.262376	0.000000	0.000000	0.000000	-0.034016	0.194134	0.013107	0.022180	0.528963	0.143418	-0.192411	
133827	-0.220543	0.000000	-0.828403	0.000000	0.000000	0.000000	-0.109163	0.000000	0.000000	-0.437677	0.306216	0.000000	0.195697	0.000000	0.561513	0.000000	0.000000	0.000000	-0.102535	-0.440526	-0.177562	0.315911	0.142783	0.337172	-0.026432	
